"","RunningID","IUID","ScenStart","ScenFut","Endemicity"
"2",2,"SDN53289","IA","65A.xIA","Unknown"
"5",5,"MLI30034","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"7",7,"SDN53285","IA","65A.xIA","Unknown"
"8",8,"SDN53295","IA","65A.xIA","Requiring PC"
"13",13,"MLI29992","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"14",14,"SDN53288","IA","65A.xIA","Unknown"
"15",15,"NER35295","IA","65A.xIA","Endemic (under MDA)"
"17",17,"MLI29990","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"18",18,"SDN53283","IA","65A.xIA","Unknown"
"23",23,"SDN53262","IA","65A.xIA","Unknown"
"24",24,"SDN53284","IA","65A.xIA","Unknown"
"25",25,"SDN53280","IA","65A.xIA","Unknown"
"26",26,"SDN53291","IA","65A.xIA","Unknown"
"28",28,"SDN53286","IA","65A.xIA","Unknown"
"29",29,"SDN53293","IA","65A.xIA","Unknown"
"31",31,"MLI29991","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"32",32,"SDN53292","IA","65A.xIA","Unknown"
"33",33,"MLI29993","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"36",36,"SDN53290","IA","65A.xIA","Unknown"
"38",38,"SDN53282","IA","65A.xIA","Unknown"
"40",40,"MLI29979","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"41",41,"MLI30035","IA","65A.xIA","Requiring PC"
"43",43,"SDN53294","IA","65A.xIA","Unknown"
"44",44,"NER35323","IA","65A.xIA","Endemic (under MDA)"
"45",45,"SDN53297","IA","65A.xIA","Requiring PC"
"47",47,"SDN53281","IA","65A.xIA","Unknown"
"49",49,"SDN53287","IA","65A.xIA","Unknown"
"50",50,"SDN53296","IA","65A.xIA","Unknown"
"53",53,"NER35300","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"55",55,"MLI30038","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"57",57,"SDN53299","IA","65A.xIA","Unknown"
"58",58,"MLI30031","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"60",60,"MLI29980","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"65",65,"NER35331","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"70",70,"MLI30037","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"74",74,"SDN53245","IA","65A.xIA","Requiring PC"
"76",76,"SDN53298","IA","65A.xIA","Unknown"
"77",77,"SDN53300","IA","65A.xIA","Unknown"
"78",78,"SDN53243","IA","65A.xIA","Requiring PC"
"79",79,"MLI30032","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"89",89,"MLI29978","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"91",91,"SEN40199","IA","65A.xIA","Endemic (under MDA)"
"93",93,"MLI30030","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"94",94,"MLI29981","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"95",95,"SDN53256","IA","65A.xIA","Unknown"
"96",96,"SDN53249","IA","65A.xIA","Requiring PC"
"100",100,"SEN40198","IA","65A.xIA","Endemic (under MDA)"
"102",102,"SDN53276","IA","65A.xIA","Unknown"
"106",106,"SDN53273","IA","65A.xIA","Unknown"
"107",107,"SDN53278","IA","65A.xIA","Unknown"
"108",108,"MLI30036","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"114",114,"SDN53253","IA","65A.xIA","Unknown"
"115",115,"SDN53246","IA","65A.xIA","Requiring PC"
"117",117,"SDN53251","IA","65A.xIA","Unknown"
"119",119,"SDN53248","IA","65A.xIA","Requiring PC"
"120",120,"SDN53241","IA","65A.xIA","Requiring PC"
"121",121,"ERI17459","Rest","65A.xDA","Endemic (under MDA)"
"122",122,"MLI30033","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"125",125,"SEN40188","IA","65A.xIA","Endemic (under MDA)"
"129",129,"SDN53255","IA","65A.xIA","Unknown"
"132",132,"NER35335","IA","65A.xIA","Endemic (under MDA)"
"135",135,"SEN40192","IA","65A.xIA","Endemic (under MDA)"
"138",138,"SDN53242","IA","65A.xIA","Requiring PC"
"142",142,"SEN40190","IA","65A.xIA","Endemic (under MDA)"
"147",147,"MLI30007","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"149",149,"MLI30011","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"153",153,"SEN40191","IA","65A.xIA","Endemic (under MDA)"
"155",155,"SDN53205","IA","65A.xIA","Requiring PC"
"157",157,"SDN53268","IA","65A.xIA","Unknown"
"161",161,"MLI29987","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"164",164,"SEN40185","IA","65A.xIA","Endemic (under MDA)"
"165",165,"MLI29984","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"166",166,"SDN53257","IA","65A.xIA","Unknown"
"167",167,"SDN53247","IA","65A.xIA","Requiring PC"
"171",171,"SDN53250","IA","65A.xIA","Requiring PC"
"174",174,"MLI30002","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"175",175,"MLI30009","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"178",178,"SEN40221","IA","65A.xIA","Endemic (under MDA)"
"179",179,"MLI30016","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"180",180,"SDN53252","IA","65A.xIA","Unknown"
"183",183,"MLI29989","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"184",184,"NER35307","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"185",185,"SDN53201","IA","65A.xIA","Unknown"
"186",186,"SDN53244","IA","65A.xIA","Unknown"
"190",190,"SDN53198","IA","65A.xIA","Unknown"
"193",193,"SDN53265","IA","65A.xIA","Unknown"
"197",197,"NER35330","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"200",200,"MLI29983","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"201",201,"MLI30010","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"202",202,"NER35324","IA","65A.xIA","Endemic (under MDA)"
"203",203,"SDN53269","IA","65A.xIA","Unknown"
"204",204,"SDN53359","IA","65A.xIA","Unknown"
"205",205,"SDN53197","IA","65A.xIA","Unknown"
"209",209,"NER35320","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"210",210,"SEN40205","IA","65A.xIA","Endemic (under MDA)"
"211",211,"BFA05369","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"214",214,"SEN40160","IA","65A.xIA","Endemic (under MDA)"
"219",219,"SEN40162","IA","65A.xIA","Endemic (under MDA)"
"220",220,"SEN40163","IA","65A.xIA","Endemic (under MDA)"
"221",221,"MLI30004","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"222",222,"NER35329","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"224",224,"SDN53344","IA","65A.xIA","Unknown"
"225",225,"SDN53212","IA","65A.xIA","Requiring PC"
"227",227,"SEN40218","IA","65A.xIA","Endemic (under MDA)"
"228",228,"SDN53364","IA","65A.xIA","Unknown"
"230",230,"SEN40214","IA","65A.xIA","Endemic (under MDA)"
"231",231,"SDN53202","IA","65A.xIA","Unknown"
"233",233,"ERI17452","Rest","65A.xDA","Endemic (under MDA)"
"235",235,"SEN40167","IA","65A.xIA","Endemic (under MDA)"
"236",236,"SDN53206","IA","65A.xIA","Requiring PC"
"237",237,"MLI30008","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"238",238,"BFA05367","IA","65A.xIA","Endemic (under post-intervention surveillance)"
"239",239,"NER35318","IA","65A.xIA","Endemic (under post-intervention surveillance)"
