"","IUID","pop"
"1",0,0
"2",1,189561
"3",0,0
"4",0,0
"5",1,171973
"6",0,0
"7",1,189561
"8",1,189561
"9",0,0
"10",0,0
"11",0,0
"12",0,0
"13",1,22746
"14",1,189561
"15",1,165452
"16",0,0
"17",1,14364
"18",1,189561
"19",0,0
"20",0,0
"21",0,0
"22",0,0
"23",1,189561
"24",1,189561
"25",1,189561
"26",1,189561
"27",0,0
"28",1,189561
"29",1,189561
"30",0,0
"31",1,46203
"32",1,189561
"33",1,11138
"34",0,0
"35",0,0
"36",1,189561
"37",0,0
"38",1,189561
"39",0,0
"40",1,161255
"41",1,189561
"42",0,0
"43",1,189561
"44",1,272605
"45",1,189561
"46",0,0
"47",1,189561
"48",0,0
"49",1,189561
"50",1,189561
"51",0,0
"52",0,0
"53",1,156843
"54",0,0
"55",1,4180
"56",0,0
"57",1,189561
"58",1,207328
"59",0,0
"60",1,333548
"61",0,0
"62",0,0
"63",0,0
"64",0,0
"65",1,457404
"66",0,0
"67",0,0
"68",0,0
"69",0,0
"70",1,6051
"71",0,0
"72",0,0
"73",0,0
"74",1,189561
"75",0,0
"76",1,189561
"77",1,189561
"78",1,189561
"79",1,153802
"80",0,0
"81",0,0
"82",0,0
"83",0,0
"84",0,0
"85",0,0
"86",0,0
"87",0,0
"88",0,0
"89",1,183849
"90",0,0
"91",1,241488
"92",0,0
"93",1,153716
"94",1,51476
"95",1,189561
"96",1,189561
"97",0,0
"98",0,0
"99",0,0
"100",1,192322
"101",0,0
"102",1,189561
"103",0,0
"104",0,0
"105",0,0
"106",1,189561
"107",1,189561
"108",1,16312
"109",0,0
"110",0,0
"111",0,0
"112",0,0
"113",0,0
"114",1,189561
"115",1,189561
"116",0,0
"117",1,189561
"118",0,0
"119",1,189561
"120",1,189561
"121",1,46081
"122",1,254461
"123",0,0
"124",0,0
"125",1,89365
"126",0,0
"127",0,0
"128",0,0
"129",1,189561
"130",0,0
"131",0,0
"132",1,658754
"133",0,0
"134",0,0
"135",1,84695
"136",0,0
"137",0,0
"138",1,189561
"139",0,0
"140",0,0
"141",0,0
"142",1,130037
"143",0,0
"144",0,0
"145",0,0
"146",0,0
"147",1,345283
"148",0,0
"149",1,148773
"150",0,0
"151",0,0
"152",0,0
"153",1,191853
"154",0,0
"155",1,189561
"156",0,0
"157",1,189561
"158",0,0
"159",0,0
"160",0,0
"161",1,320870
"162",0,0
"163",0,0
"164",1,74945
"165",1,714670
"166",1,189561
"167",1,189561
"168",0,0
"169",0,0
"170",0,0
"171",1,189561
"172",0,0
"173",0,0
"174",1,339386
"175",1,513494
"176",0,0
"177",0,0
"178",1,346102
"179",1,510043
"180",1,189561
"181",0,0
"182",0,0
"183",1,248415
"184",1,819949
"185",1,189561
"186",1,189561
"187",0,0
"188",0,0
"189",0,0
"190",1,189561
"191",0,0
"192",0,0
"193",1,189561
"194",0,0
"195",0,0
"196",0,0
"197",1,334954
"198",0,0
"199",0,0
"200",1,295220
"201",1,228022
"202",1,565583
"203",1,189561
"204",1,189561
"205",1,189561
"206",0,0
"207",0,0
"208",0,0
"209",1,440663
"210",1,104746
"211",1,297228
"212",0,0
"213",0,0
"214",1,360381
"215",0,0
"216",0,0
"217",0,0
"218",0,0
"219",1,212337
"220",1,906514
"221",1,443061
"222",1,779893
"223",0,0
"224",1,189561
"225",1,189561
"226",0,0
"227",1,141813
"228",1,189561
"229",0,0
"230",1,164001
"231",1,189561
"232",0,0
"233",1,26918
"234",0,0
"235",1,116611
"236",1,189561
"237",1,504342
"238",1,516396
"239",1,582190
"240",0,0
"241",0,0
"242",0,0
"243",1,480284
"244",1,189561
"245",0,0
"246",1,117464
"247",1,189561
"248",0,0
"249",1,85588
"250",1,202801
"251",1,90485
"252",1,66777
"253",1,533450
"254",0,0
"255",0,0
"256",0,0
"257",1,427010
"258",1,180134
"259",1,158633
"260",1,179112
"261",1,146546
"262",0,0
"263",0,0
"264",1,189561
"265",0,0
"266",1,94766
"267",1,257696
"268",1,189561
"269",1,226058
"270",1,189561
"271",1,189561
"272",1,189561
"273",1,331442
"274",1,669207
"275",0,0
"276",0,0
"277",0,0
"278",0,0
"279",1,138508
"280",1,1247675
"281",1,284654
"282",1,714039
"283",1,288801
"284",1,385900
"285",1,619563
"286",0,0
"287",1,189561
"288",1,94621
"289",0,0
"290",0,0
"291",0,0
"292",1,92479
"293",1,376510
"294",1,67175
"295",1,326717
"296",1,713141
"297",1,291053
"298",1,189561
"299",1,189561
"300",0,0
"301",0,0
"302",0,0
"303",0,0
"304",0,0
"305",1,205394
"306",0,0
"307",1,189561
"308",1,125594
"309",1,265703
"310",1,712821
"311",0,0
"312",0,0
"313",1,367092
"314",1,189561
"315",0,0
"316",0,0
"317",1,51367
"318",0,0
"319",0,0
"320",0,0
"321",0,0
"322",1,190364
"323",0,0
"324",0,0
"325",1,189561
"326",1,189561
"327",1,189561
"328",0,0
"329",0,0
"330",0,0
"331",1,189561
"332",1,189561
"333",0,0
"334",0,0
"335",1,189561
"336",0,0
"337",0,0
"338",1,481094
"339",1,247243
"340",1,404745
"341",1,189561
"342",1,189561
"343",1,189561
"344",1,189561
"345",1,189561
"346",1,306846
"347",1,209798
"348",0,0
"349",1,118821
"350",0,0
"351",1,398553
"352",1,548162
"353",1,342239
"354",1,629009
"355",1,296359
"356",0,0
"357",0,0
"358",1,179092
"359",1,250878
"360",1,238324
"361",1,207451
"362",0,0
"363",0,0
"364",1,189561
"365",0,0
"366",0,0
"367",0,0
"368",1,84854
"369",0,0
"370",0,0
"371",1,361955
"372",1,131708
"373",1,156948
"374",0,0
"375",0,0
"376",1,189561
"377",1,189561
"378",1,189561
"379",1,189561
"380",1,189561
"381",0,0
"382",0,0
"383",1,294849
"384",1,303001
"385",1,488264
"386",1,138099
"387",0,0
"388",1,189561
"389",1,189561
"390",0,0
"391",0,0
"392",0,0
"393",0,0
"394",1,286178
"395",1,500306
"396",1,189561
"397",1,189561
"398",1,189561
"399",0,0
"400",0,0
"401",0,0
"402",0,0
"403",1,270288
"404",1,467430
"405",1,1167617
"406",0,0
"407",1,189561
"408",1,189561
"409",0,0
"410",0,0
"411",0,0
"412",0,0
"413",0,0
"414",1,166042
"415",0,0
"416",1,195883
"417",1,421944
"418",1,411012
"419",0,0
"420",1,318930
"421",1,251297
"422",1,189561
"423",0,0
"424",0,0
"425",0,0
"426",0,0
"427",0,0
"428",0,0
"429",1,334747
"430",1,230950
"431",1,539106
"432",1,189561
"433",0,0
