"RunningID","IUID","ScenStart","ScenFut","Endemicity"
1,"TCD10760","IA","65A.xIA","Non-endemic"
2,"SDN53289","IA","65A.xIA","Unknown"
3,"MRT31082","Rest","65A.IDA","Non-endemic"
4,"MRT31083","Rest","65A.IDA","Non-endemic"
5,"MLI30034","IA","65A.xIA","Endemic (under post-intervention surveillance)"
6,"TCD10738","IA","65A.xIA","Non-endemic"
7,"SDN53285","IA","65A.xIA","Unknown"
8,"SDN53295","IA","65A.xIA","Requiring PC"
9,"MRT31036","Rest","65A.IDA","Non-endemic"
10,"MRT31051","Rest","65A.IDA","Non-endemic"
11,"MRT31068","Rest","65A.IDA","Non-endemic"
12,"TCD10677","IA","65A.xIA","Non-endemic"
13,"MLI29992","IA","65A.xIA","Endemic (under post-intervention surveillance)"
14,"SDN53288","IA","65A.xIA","Unknown"
15,"NER35295","IA","65A.xIA","Endemic (under MDA)"
16,"MRT31038","Rest","65A.IDA","Non-endemic"
17,"MLI29990","IA","65A.xIA","Endemic (under post-intervention surveillance)"
18,"SDN53283","IA","65A.xIA","Unknown"
19,"MRT31035","Rest","65A.IDA","Non-endemic"
20,"TCD10678","IA","65A.xIA","Non-endemic"
21,"MRT31050","Rest","65A.IDA","Non-endemic"
22,"NER35296","IA","65A.xIA","Non-endemic"
23,"SDN53262","IA","65A.xIA","Unknown"
24,"SDN53284","IA","65A.xIA","Unknown"
25,"SDN53280","IA","65A.xIA","Unknown"
26,"SDN53291","IA","65A.xIA","Unknown"
27,"MRT31080","Rest","65A.IDA","Non-endemic"
28,"SDN53286","IA","65A.xIA","Unknown"
29,"SDN53293","IA","65A.xIA","Unknown"
30,"NER35297","IA","65A.xIA","Non-endemic"
31,"MLI29991","IA","65A.xIA","Endemic (under post-intervention surveillance)"
32,"SDN53292","IA","65A.xIA","Unknown"
33,"MLI29993","IA","65A.xIA","Endemic (under post-intervention surveillance)"
34,"MRT31087","Rest","65A.IDA","Non-endemic"
35,"MRT31084","Rest","65A.IDA","Non-endemic"
36,"SDN53290","IA","65A.xIA","Unknown"
37,"TCD10665","IA","65A.xIA","Non-endemic"
38,"SDN53282","IA","65A.xIA","Unknown"
39,"MRT31078","Rest","65A.IDA","Non-endemic"
40,"MLI29979","IA","65A.xIA","Endemic (under post-intervention surveillance)"
41,"MLI30035","IA","65A.xIA","Requiring PC"
42,"TCD10746","IA","65A.xIA","Non-endemic"
43,"SDN53294","IA","65A.xIA","Unknown"
44,"NER35323","IA","65A.xIA","Endemic (under MDA)"
45,"SDN53297","IA","65A.xIA","Requiring PC"
46,"MRT31049","Rest","65A.IDA","Non-endemic"
47,"SDN53281","IA","65A.xIA","Unknown"
48,"MRT31070","Rest","65A.IDA","Non-endemic"
49,"SDN53287","IA","65A.xIA","Unknown"
50,"SDN53296","IA","65A.xIA","Unknown"
51,"MRT31040","Rest","65A.IDA","Non-endemic"
52,"TCD10666","IA","65A.xIA","Non-endemic"
53,"NER35300","IA","65A.xIA","Endemic (under post-intervention surveillance)"
54,"ERI17483","Rest","65A.IDA","Non-endemic"
55,"MLI30038","IA","65A.xIA","Endemic (under post-intervention surveillance)"
56,"TCD10675","IA","65A.xIA","Non-endemic"
57,"SDN53299","IA","65A.xIA","Unknown"
58,"MLI30031","IA","65A.xIA","Endemic (under post-intervention surveillance)"
59,"MRT31086","Rest","65A.IDA","Non-endemic"
60,"MLI29980","IA","65A.xIA","Endemic (under post-intervention surveillance)"
61,"MRT31045","Rest","65A.IDA","Non-endemic"
62,"ERI17477","Rest","65A.IDA","Non-endemic"
63,"MRT31066","Rest","65A.IDA","Non-endemic"
64,"MRT31064","Rest","65A.IDA","Non-endemic"
65,"NER35331","IA","65A.xIA","Endemic (under post-intervention surveillance)"
66,"ERI17439","Rest","65A.IDA","Non-endemic"
67,"MRT31044","Rest","65A.IDA","Non-endemic"
68,"MRT31088","Rest","65A.IDA","Non-endemic"
69,"MRT31039","Rest","65A.IDA","Non-endemic"
70,"MLI30037","IA","65A.xIA","Endemic (under post-intervention surveillance)"
71,"NER35294","IA","65A.xIA","Non-endemic"
72,"MRT31062","Rest","65A.IDA","Non-endemic"
73,"MRT31042","Rest","65A.IDA","Non-endemic"
74,"SDN53245","IA","65A.xIA","Requiring PC"
75,"ERI17485","Rest","65A.IDA","Non-endemic"
76,"SDN53298","IA","65A.xIA","Unknown"
77,"SDN53300","IA","65A.xIA","Unknown"
78,"SDN53243","IA","65A.xIA","Requiring PC"
79,"MLI30032","IA","65A.xIA","Endemic (under post-intervention surveillance)"
80,"MRT31085","Rest","65A.IDA","Non-endemic"
81,"MRT31063","Rest","65A.IDA","Non-endemic"
82,"ERI17478","Rest","65A.IDA","Non-endemic"
83,"MRT31061","Rest","65A.IDA","Non-endemic"
84,"MRT31089","Rest","65A.IDA","Non-endemic"
85,"MRT31047","Rest","65A.IDA","Non-endemic"
86,"MRT31059","Rest","65A.IDA","Non-endemic"
87,"TCD10690","IA","65A.xIA","Non-endemic"
88,"MRT31055","Rest","65A.IDA","Non-endemic"
89,"MLI29978","IA","65A.xIA","Endemic (under post-intervention surveillance)"
90,"ERI17430","Rest","65A.IDA","Non-endemic"
91,"SEN40199","IA","65A.xIA","Endemic (under MDA)"
92,"ERI17433","Rest","65A.IDA","Non-endemic"
93,"MLI30030","IA","65A.xIA","Endemic (under post-intervention surveillance)"
94,"MLI29981","IA","65A.xIA","Endemic (under post-intervention surveillance)"
95,"SDN53256","IA","65A.xIA","Unknown"
96,"SDN53249","IA","65A.xIA","Requiring PC"
97,"SEN40197","IA","65A.xIA","Non-endemic"
98,"MRT31046","Rest","65A.IDA","Non-endemic"
99,"SEN40200","IA","65A.xIA","Non-endemic"
100,"SEN40198","IA","65A.xIA","Endemic (under MDA)"
101,"MRT31067","Rest","65A.IDA","Non-endemic"
102,"SDN53276","IA","65A.xIA","Unknown"
103,"MRT31053","Rest","65A.IDA","Non-endemic"
104,"MRT31060","Rest","65A.IDA","Non-endemic"
105,"TCD10676","IA","65A.xIA","Non-endemic"
106,"SDN53273","IA","65A.xIA","Unknown"
107,"SDN53278","IA","65A.xIA","Unknown"
108,"MLI30036","IA","65A.xIA","Endemic (under post-intervention surveillance)"
109,"MRT31048","Rest","65A.IDA","Non-endemic"
110,"MRT31052","Rest","65A.IDA","Non-endemic"
111,"MRT31065","Rest","65A.IDA","Non-endemic"
112,"NER35316","IA","65A.xIA","Non-endemic"
113,"TCD10689","IA","65A.xIA","Non-endemic"
114,"SDN53253","IA","65A.xIA","Unknown"
115,"SDN53246","IA","65A.xIA","Requiring PC"
116,"ERI17438","Rest","65A.IDA","Non-endemic"
117,"SDN53251","IA","65A.xIA","Unknown"
118,"MRT31043","Rest","65A.IDA","Non-endemic"
119,"SDN53248","IA","65A.xIA","Requiring PC"
120,"SDN53241","IA","65A.xIA","Requiring PC"
121,"ERI17459","Rest","65A.xDA","Endemic (under MDA)"
122,"MLI30033","IA","65A.xIA","Endemic (under post-intervention surveillance)"
123,"ERI17435","Rest","65A.IDA","Non-endemic"
124,"SEN40201","IA","65A.xIA","Non-endemic"
125,"SEN40188","IA","65A.xIA","Endemic (under MDA)"
126,"SEN40196","IA","65A.xIA","Non-endemic"
127,"SEN40194","IA","65A.xIA","Non-endemic"
128,"MRT31058","Rest","65A.IDA","Non-endemic"
129,"SDN53255","IA","65A.xIA","Unknown"
130,"TCD10745","IA","65A.xIA","Non-endemic"
131,"MRT31056","Rest","65A.IDA","Non-endemic"
132,"NER35335","IA","65A.xIA","Endemic (under MDA)"
133,"ERI17436","Rest","65A.IDA","Non-endemic"
134,"ERI17486","Rest","65A.IDA","Non-endemic"
135,"SEN40192","IA","65A.xIA","Endemic (under MDA)"
136,"SEN40186","IA","65A.xIA","Non-endemic"
137,"TCD10711","IA","65A.xIA","Non-endemic"
138,"SDN53242","IA","65A.xIA","Requiring PC"
139,"TCD10742","IA","65A.xIA","Non-endemic"
140,"ERI17458","Rest","65A.IDA","Non-endemic"
141,"ERI17434","Rest","65A.IDA","Non-endemic"
142,"SEN40190","IA","65A.xIA","Endemic (under MDA)"
143,"TCD10743","IA","65A.xIA","Non-endemic"
144,"ERI17432","Rest","65A.IDA","Non-endemic"
145,"MRT31054","Rest","65A.IDA","Non-endemic"
146,"MRT31057","Rest","65A.IDA","Non-endemic"
147,"MLI30007","IA","65A.xIA","Endemic (under post-intervention surveillance)"
148,"ERI17437","Rest","65A.IDA","Non-endemic"
149,"MLI30011","IA","65A.xIA","Endemic (under post-intervention surveillance)"
150,"ERI17465","Rest","65A.IDA","Non-endemic"
151,"ERI17431","Rest","65A.IDA","Non-endemic"
152,"ERI17479","Rest","65A.IDA","Non-endemic"
153,"SEN40191","IA","65A.xIA","Endemic (under MDA)"
154,"TCD10739","IA","65A.xIA","Non-endemic"
155,"SDN53205","IA","65A.xIA","Requiring PC"
156,"SEN40195","IA","65A.xIA","Non-endemic"
157,"SDN53268","IA","65A.xIA","Unknown"
158,"ERI17429","Rest","65A.IDA","Non-endemic"
159,"ERI17482","Rest","65A.IDA","Non-endemic"
160,"ERI17484","Rest","65A.IDA","Non-endemic"
161,"MLI29987","IA","65A.xIA","Endemic (under post-intervention surveillance)"
162,"NER35325","IA","65A.xIA","Non-endemic"
163,"SEN40189","IA","65A.xIA","Non-endemic"
164,"SEN40185","IA","65A.xIA","Endemic (under MDA)"
165,"MLI29984","IA","65A.xIA","Endemic (under post-intervention surveillance)"
166,"SDN53257","IA","65A.xIA","Unknown"
167,"SDN53247","IA","65A.xIA","Requiring PC"
168,"ERI17456","Rest","65A.IDA","Non-endemic"
169,"SEN40193","IA","65A.xIA","Non-endemic"
170,"ERI17464","Rest","65A.IDA","Non-endemic"
171,"SDN53250","IA","65A.xIA","Requiring PC"
172,"ERI17474","Rest","65A.IDA","Non-endemic"
173,"ERI17480","Rest","65A.IDA","Non-endemic"
174,"MLI30002","IA","65A.xIA","Endemic (under post-intervention surveillance)"
175,"MLI30009","IA","65A.xIA","Endemic (under post-intervention surveillance)"
176,"ERI17460","Rest","65A.IDA","Non-endemic"
177,"ERI17466","Rest","65A.IDA","Non-endemic"
178,"SEN40221","IA","65A.xIA","Endemic (under MDA)"
179,"MLI30016","IA","65A.xIA","Endemic (under post-intervention surveillance)"
180,"SDN53252","IA","65A.xIA","Unknown"
181,"ERI17470","Rest","65A.IDA","Non-endemic"
182,"ERI17481","Rest","65A.IDA","Non-endemic"
183,"MLI29989","IA","65A.xIA","Endemic (under post-intervention surveillance)"
184,"NER35307","IA","65A.xIA","Endemic (under post-intervention surveillance)"
185,"SDN53201","IA","65A.xIA","Unknown"
186,"SDN53244","IA","65A.xIA","Unknown"
187,"ERI17462","Rest","65A.IDA","Non-endemic"
188,"ERI17473","Rest","65A.IDA","Non-endemic"
189,"SEN40187","IA","65A.xIA","Non-endemic"
190,"SDN53198","IA","65A.xIA","Unknown"
191,"SEN40216","IA","65A.xIA","Non-endemic"
192,"NER35327","IA","65A.xIA","Non-endemic"
193,"SDN53265","IA","65A.xIA","Unknown"
194,"ERI17469","Rest","65A.IDA","Non-endemic"
195,"ERI17467","Rest","65A.IDA","Non-endemic"
196,"ERI17471","Rest","65A.IDA","Non-endemic"
197,"NER35330","IA","65A.xIA","Endemic (under post-intervention surveillance)"
198,"ERI17443","Rest","65A.IDA","Non-endemic"
199,"ERI17444","Rest","65A.IDA","Non-endemic"
200,"MLI29983","IA","65A.xIA","Endemic (under post-intervention surveillance)"
201,"MLI30010","IA","65A.xIA","Endemic (under post-intervention surveillance)"
202,"NER35324","IA","65A.xIA","Endemic (under MDA)"
203,"SDN53269","IA","65A.xIA","Unknown"
204,"SDN53359","IA","65A.xIA","Unknown"
205,"SDN53197","IA","65A.xIA","Unknown"
206,"ERI17468","Rest","65A.IDA","Non-endemic"
207,"ERI17449","Rest","65A.IDA","Non-endemic"
208,"ERI17457","Rest","65A.IDA","Non-endemic"
209,"NER35320","IA","65A.xIA","Endemic (under post-intervention surveillance)"
210,"SEN40205","IA","65A.xIA","Endemic (under MDA)"
211,"BFA05369","IA","65A.xIA","Endemic (under post-intervention surveillance)"
212,"ERI17442","Rest","65A.IDA","Non-endemic"
213,"ERI17440","Rest","65A.IDA","Non-endemic"
214,"SEN40160","IA","65A.xIA","Endemic (under MDA)"
215,"TCD10740","IA","65A.xIA","Non-endemic"
216,"ERI17461","Rest","65A.IDA","Non-endemic"
217,"ERI17463","Rest","65A.IDA","Non-endemic"
218,"SEN40161","IA","65A.xIA","Non-endemic"
219,"SEN40162","IA","65A.xIA","Endemic (under MDA)"
220,"SEN40163","IA","65A.xIA","Endemic (under MDA)"
221,"MLI30004","IA","65A.xIA","Endemic (under post-intervention surveillance)"
222,"NER35329","IA","65A.xIA","Endemic (under post-intervention surveillance)"
223,"TCD10741","IA","65A.xIA","Non-endemic"
224,"SDN53344","IA","65A.xIA","Unknown"
225,"SDN53212","IA","65A.xIA","Requiring PC"
226,"ERI17448","Rest","65A.IDA","Non-endemic"
227,"SEN40218","IA","65A.xIA","Endemic (under MDA)"
228,"SDN53364","IA","65A.xIA","Unknown"
229,"ERI17446","Rest","65A.IDA","Non-endemic"
230,"SEN40214","IA","65A.xIA","Endemic (under MDA)"
231,"SDN53202","IA","65A.xIA","Unknown"
232,"ERI17450","Rest","65A.IDA","Non-endemic"
233,"ERI17452","Rest","65A.xDA","Endemic (under MDA)"
234,"SEN40158","IA","65A.xIA","Non-endemic"
235,"SEN40167","IA","65A.xIA","Endemic (under MDA)"
236,"SDN53206","IA","65A.xIA","Requiring PC"
237,"MLI30008","IA","65A.xIA","Endemic (under post-intervention surveillance)"
238,"BFA05367","IA","65A.xIA","Endemic (under post-intervention surveillance)"
239,"NER35318","IA","65A.xIA","Endemic (under post-intervention surveillance)"
240,"ETH19320","IA","65A.xIA","Non-endemic"
241,"ERI17445","Rest","65A.IDA","Non-endemic"
242,"ERI17451","Rest","65A.IDA","Non-endemic"
243,"SEN40220","IA","65A.xIA","Endemic (under MDA)"
244,"SDN53199","IA","65A.xIA","Unknown"
245,"ERI17441","Rest","65A.IDA","Non-endemic"
246,"SEN40174","IA","65A.xIA","Endemic (under MDA)"
247,"SDN53270","IA","65A.xIA","Unknown"
248,"SEN40150","IA","65A.xIA","Non-endemic"
249,"SEN40217","IA","65A.xIA","Endemic (under MDA)"
250,"SEN40173","IA","65A.xIA","Endemic (under MDA)"
251,"SEN40207","IA","65A.xIA","Endemic (under MDA)"
252,"SEN40208","IA","65A.xIA","Endemic (MDA not delivered)"
253,"NER35319","IA","65A.xIA","Endemic (under MDA)"
254,"ETH19303","IA","65A.xIA","Non-endemic"
255,"ERI17447","Rest","65A.IDA","Non-endemic"
256,"ETH19289","IA","65A.xIA","Non-endemic"
257,"SEN40215","IA","65A.xIA","Endemic (under MDA)"
258,"SEN40219","IA","65A.xIA","Endemic (under MDA)"
259,"SEN40209","IA","65A.xIA","Endemic (MDA not delivered)"
260,"MLI29982","IA","65A.xIA","Endemic (under post-intervention surveillance)"
261,"MLI29988","IA","65A.xIA","Endemic (under post-intervention surveillance)"
262,"NER35303","IA","65A.xIA","Non-endemic"
263,"TCD10687","IA","65A.xIA","Non-endemic"
264,"SDN53213","IA","65A.xIA","Requiring PC"
265,"ETH19278","IA","65A.xIA","Non-endemic"
266,"SEN40168","IA","65A.xIA","Endemic (under MDA)"
267,"SEN40172","IA","65A.xIA","Endemic (under MDA)"
268,"SDN53200","IA","65A.xIA","Unknown"
269,"SEN40165","IA","65A.xIA","Endemic (under MDA)"
270,"SDN53261","IA","65A.xIA","Unknown"
271,"SDN53275","IA","65A.xIA","Unknown"
272,"SDN53203","IA","65A.xIA","Unknown"
273,"MLI30014","IA","65A.xIA","Endemic (under post-intervention surveillance)"
274,"NER35311","IA","65A.xIA","Endemic (under MDA)"
275,"TCD10691","IA","65A.xIA","Non-endemic"
276,"ETH19307","IA","65A.xIA","Non-endemic"
277,"ETH19292","IA","65A.xIA","Non-endemic"
278,"ETH18512","IA","65A.xIA","Non-endemic"
279,"SEN40175","IA","65A.xIA","Endemic (under MDA)"
280,"NER35334","IA","65A.xIA","Endemic (under post-intervention surveillance)"
281,"SEN40212","IA","65A.xIA","Endemic (MDA not delivered)"
282,"MLI30018","IA","65A.xIA","Endemic (under post-intervention surveillance)"
283,"MLI30006","IA","65A.xIA","Endemic (under post-intervention surveillance)"
284,"BFA05368","IA","65A.xIA","Endemic (under post-intervention surveillance)"
285,"NER35312","IA","65A.xIA","Endemic (under MDA)"
286,"TCD10729","IA","65A.xIA","Non-endemic"
287,"SDN53357","IA","65A.xIA","Unknown"
288,"SEN40213","IA","65A.xIA","Endemic (under MDA)"
289,"ETH19297","IA","65A.xIA","Non-endemic"
290,"ETH19291","IA","65A.xIA","Non-endemic"
291,"ETH19313","IA","65A.xIA","Non-endemic"
292,"SEN40164","IA","65A.xIA","Endemic (under MDA)"
293,"SEN40176","IA","65A.xIA","Endemic (under MDA)"
294,"MLI30040","IA","65A.xIA","Endemic (under post-intervention surveillance)"
295,"MLI30000","IA","65A.xIA","Endemic (under post-intervention surveillance)"
296,"NER35321","IA","65A.xIA","Endemic (under post-intervention surveillance)"
297,"NER35299","IA","65A.xIA","Endemic (under post-intervention surveillance)"
298,"SDN53342","IA","65A.xIA","Unknown"
299,"SDN53263","IA","65A.xIA","Unknown"
300,"ETH19306","IA","65A.xIA","Non-endemic"
301,"ETH19321","IA","65A.xIA","Non-endemic"
302,"ETH19277","IA","65A.xIA","Non-endemic"
303,"ETH19290","IA","65A.xIA","Non-endemic"
304,"ETH18507","IA","65A.xIA","Non-endemic"
305,"BFA05362","IA","65A.xIA","Endemic (under post-intervention surveillance)"
306,"TCD10661","IA","65A.xIA","Non-endemic"
307,"SDN53207","IA","65A.xIA","Requiring PC"
308,"SEN40171","IA","65A.xIA","Endemic (under MDA)"
309,"MLI29994","IA","65A.xIA","Endemic (under post-intervention surveillance)"
310,"NER35317","IA","65A.xIA","Endemic (under MDA)"
311,"ETH19319","IA","65A.xIA","Non-endemic"
312,"ETH19304","IA","65A.xIA","Non-endemic"
313,"MLI30005","IA","65A.xIA","Endemic (under post-intervention surveillance)"
314,"SDN53260","IA","65A.xIA","Unknown"
315,"ETH19281","IA","65A.xIA","Non-endemic"
316,"SEN40169","IA","65A.xIA","Non-endemic"
317,"SEN40206","IA","65A.xIA","Endemic (under MDA)"
318,"TCD10728","IA","65A.xIA","Non-endemic"
319,"ETH19326","IA","65A.xIA","Non-endemic"
320,"ETH19295","IA","65A.xIA","Non-endemic"
321,"SEN40177","IA","65A.xIA","Non-endemic"
322,"BFA53006","IA","65A.xIA","Endemic (under post-intervention surveillance)"
323,"TCD10692","IA","65A.xIA","Non-endemic"
324,"TCD10730","IA","65A.xIA","Non-endemic"
325,"SDN53356","IA","65A.xIA","Unknown"
326,"SDN53279","IA","65A.xIA","Unknown"
327,"SDN53305","IA","65A.xIA","Unknown"
328,"ETH19325","IA","65A.xIA","Non-endemic"
329,"ERI17455","Rest","65A.IDA","Non-endemic"
330,"TCD10663","IA","65A.xIA","Non-endemic"
331,"SDN53307","IA","65A.xIA","Unknown"
332,"SDN53210","IA","65A.xIA","Unknown"
333,"ETH19282","IA","65A.xIA","Non-endemic"
334,"SEN40166","IA","65A.xIA","Non-endemic"
335,"SDN53345","IA","65A.xIA","Unknown"
336,"ETH19308","IA","65A.xIA","Non-endemic"
337,"ETH18523","IA","65A.xIA","Non-endemic"
338,"MLI29986","IA","65A.xIA","Endemic (under post-intervention surveillance)"
339,"BFA53002","IA","65A.xIA","Endemic (under post-intervention surveillance)"
340,"NER35336","IA","65A.xIA","Endemic (under post-intervention surveillance)"
341,"SDN53266","IA","65A.xIA","Unknown"
342,"SDN53274","IA","65A.xIA","Unknown"
343,"SDN53351","IA","65A.xIA","Unknown"
344,"SDN53214","IA","65A.xIA","Requiring PC"
345,"SDN53208","IA","65A.xIA","Requiring PC"
346,"MLI30019","IA","65A.xIA","Endemic (under post-intervention surveillance)"
347,"BFA05333","IA","65A.xIA","Endemic (under post-intervention surveillance)"
348,"NER35305","IA","65A.xIA","Non-endemic"
349,"ETH19299","IA","65A.xIA","Endemic (MDA not delivered)"
350,"SEN40178","IA","65A.xIA","Non-endemic"
351,"BFA05336","IA","65A.xIA","Endemic (under post-intervention surveillance)"
352,"NER35326","IA","65A.xIA","Endemic (under post-intervention surveillance)"
353,"NGA37044","IA","65A.xIA","Endemic (under MDA)"
354,"NER35308","IA","65A.xIA","Endemic (under post-intervention surveillance)"
355,"NER35298","IA","65A.xIA","Endemic (under post-intervention surveillance)"
356,"TCD10688","IA","65A.xIA","Non-endemic"
357,"ETH19300","IA","65A.xIA","Non-endemic"
