espen_loc,year_id,age_start,age_end,measure,draw_0
minus1_TCD10760,2000,0,1,prevalence,0
minus1_TCD10760,2000,1,2,prevalence,0
minus1_TCD10760,2000,2,3,prevalence,0
minus1_TCD10760,2000,3,4,prevalence,0
minus1_TCD10760,2000,4,5,prevalence,0
minus1_TCD10760,2000,5,6,prevalence,0
minus1_TCD10760,2000,6,7,prevalence,0
minus1_TCD10760,2000,7,8,prevalence,0
minus1_TCD10760,2000,8,9,prevalence,0
minus1_TCD10760,2000,9,10,prevalence,0
minus1_TCD10760,2000,10,11,prevalence,0
minus1_TCD10760,2000,11,12,prevalence,0
minus1_TCD10760,2000,12,13,prevalence,0
minus1_TCD10760,2000,13,14,prevalence,0
minus1_TCD10760,2000,14,15,prevalence,0
minus1_TCD10760,2000,15,16,prevalence,0
minus1_TCD10760,2000,16,17,prevalence,0
minus1_TCD10760,2000,17,18,prevalence,0
minus1_TCD10760,2000,18,19,prevalence,0
minus1_TCD10760,2000,19,20,prevalence,0
minus1_TCD10760,2000,20,21,prevalence,0
minus1_TCD10760,2000,21,22,prevalence,0
minus1_TCD10760,2000,22,23,prevalence,0
minus1_TCD10760,2000,23,24,prevalence,0
minus1_TCD10760,2000,24,25,prevalence,0
minus1_TCD10760,2000,25,26,prevalence,0
minus1_TCD10760,2000,26,27,prevalence,0
minus1_TCD10760,2000,27,28,prevalence,0
minus1_TCD10760,2000,28,29,prevalence,0
minus1_TCD10760,2000,29,30,prevalence,0
minus1_TCD10760,2000,30,31,prevalence,0
minus1_TCD10760,2000,31,32,prevalence,0
minus1_TCD10760,2000,32,33,prevalence,0
minus1_TCD10760,2000,33,34,prevalence,0
minus1_TCD10760,2000,34,35,prevalence,0
minus1_TCD10760,2000,35,36,prevalence,0
minus1_TCD10760,2000,36,37,prevalence,0
minus1_TCD10760,2000,37,38,prevalence,0
minus1_TCD10760,2000,38,39,prevalence,0
minus1_TCD10760,2000,39,40,prevalence,0
minus1_TCD10760,2000,40,41,prevalence,0
minus1_TCD10760,2000,41,42,prevalence,0
minus1_TCD10760,2000,42,43,prevalence,0
minus1_TCD10760,2000,43,44,prevalence,0
minus1_TCD10760,2000,44,45,prevalence,0
minus1_TCD10760,2000,45,46,prevalence,0
minus1_TCD10760,2000,46,47,prevalence,0
minus1_TCD10760,2000,47,48,prevalence,0
minus1_TCD10760,2000,48,49,prevalence,0
minus1_TCD10760,2000,49,50,prevalence,0.0454545
minus1_TCD10760,2000,50,51,prevalence,0
minus1_TCD10760,2000,51,52,prevalence,0
minus1_TCD10760,2000,52,53,prevalence,0
minus1_TCD10760,2000,53,54,prevalence,0
minus1_TCD10760,2000,54,55,prevalence,0
minus1_TCD10760,2000,55,56,prevalence,0
minus1_TCD10760,2000,56,57,prevalence,0
minus1_TCD10760,2000,57,58,prevalence,0
minus1_TCD10760,2000,58,59,prevalence,0
minus1_TCD10760,2000,59,60,prevalence,0.0909091
minus1_TCD10760,2000,60,61,prevalence,0
minus1_TCD10760,2000,61,62,prevalence,0
minus1_TCD10760,2000,62,63,prevalence,0
minus1_TCD10760,2000,63,64,prevalence,0.0714286
minus1_TCD10760,2000,64,65,prevalence,0
minus1_TCD10760,2000,65,66,prevalence,0
minus1_TCD10760,2000,66,67,prevalence,0
minus1_TCD10760,2000,67,68,prevalence,0
minus1_TCD10760,2000,68,69,prevalence,0
minus1_TCD10760,2000,69,70,prevalence,0
minus1_TCD10760,2000,70,71,prevalence,0
minus1_TCD10760,2000,71,72,prevalence,0
minus1_TCD10760,2000,72,73,prevalence,0
minus1_TCD10760,2000,73,74,prevalence,0
minus1_TCD10760,2000,74,75,prevalence,0.0588235
minus1_TCD10760,2000,75,76,prevalence,0
minus1_TCD10760,2000,76,77,prevalence,0
minus1_TCD10760,2000,77,78,prevalence,0
minus1_TCD10760,2000,78,79,prevalence,0
minus1_TCD10760,2000,79,80,prevalence,0
minus1_TCD10760,2000,80,81,prevalence,0
minus1_TCD10760,2000,81,82,prevalence,0
minus1_TCD10760,2000,82,83,prevalence,0
minus1_TCD10760,2000,83,84,prevalence,0
minus1_TCD10760,2000,84,85,prevalence,0
minus1_TCD10760,2000,85,86,prevalence,0
minus1_TCD10760,2000,86,87,prevalence,0
minus1_TCD10760,2000,87,88,prevalence,0
minus1_TCD10760,2000,88,89,prevalence,0
minus1_TCD10760,2000,89,90,prevalence,0
minus1_TCD10760,2000,90,91,prevalence,0
minus1_TCD10760,2000,91,92,prevalence,0
minus1_TCD10760,2000,92,93,prevalence,0
minus1_TCD10760,2000,93,94,prevalence,0
minus1_TCD10760,2000,94,95,prevalence,0
minus1_TCD10760,2000,95,96,prevalence,0
minus1_TCD10760,2000,96,97,prevalence,0.142857
minus1_TCD10760,2000,97,98,prevalence,0
minus1_TCD10760,2000,98,99,prevalence,0
minus1_TCD10760,2000,99,100,prevalence,0
minus1_TCD10760,2000,5,100,mf prevalence,0.00277778
