espen_loc,year_id,age_start,age_end,measure,draw_0
8_NGA37100,2000,None,None,MF,0.021076
8_NGA37100,2000,-1,-1,None doses,0
8_NGA37100,2000,-1,-1,None coverage,0
8_NGA37100,2001,None,None,MF,0.0106383
8_NGA37100,2001,-1,-1,None doses,0
8_NGA37100,2001,-1,-1,None coverage,0
8_NGA37100,2002,None,None,MF,0.00952381
8_NGA37100,2002,-1,-1,None doses,0
8_NGA37100,2002,-1,-1,None coverage,0
8_NGA37100,2003,None,None,MF,0.00451467
8_NGA37100,2003,-1,-1,None doses,0
8_NGA37100,2003,-1,-1,None coverage,0
8_NGA37100,2004,None,None,MF,0.0039705
8_NGA37100,2004,-1,-1,None doses,0
8_NGA37100,2004,-1,-1,None coverage,0
8_NGA37100,2005,None,None,MF,0.00227015
8_NGA37100,2005,-1,-1,None doses,0
8_NGA37100,2005,-1,-1,None coverage,0
8_NGA37100,2006,None,None,MF,0.00169683
8_NGA37100,2006,-1,-1,None doses,0
8_NGA37100,2006,-1,-1,None coverage,0
8_NGA37100,2007,None,None,MF,0.00283286
8_NGA37100,2007,-1,-1,None doses,0
8_NGA37100,2007,-1,-1,None coverage,0
8_NGA37100,2008,None,None,MF,0.0039705
8_NGA37100,2008,-1,-1,None doses,0
8_NGA37100,2008,-1,-1,None coverage,0
8_NGA37100,2009,None,None,MF,0.00394811
8_NGA37100,2009,-1,-1,None doses,0
8_NGA37100,2009,-1,-1,None coverage,0
8_NGA37100,2010,None,None,MF,0.00336323
8_NGA37100,2010,-1,-1,None doses,0
8_NGA37100,2010,-1,-1,None coverage,0
8_NGA37100,2011,None,None,MF,0.00332779
8_NGA37100,2011,-1,-1,None doses,0
8_NGA37100,2011,-1,-1,None coverage,0
8_NGA37100,2012,None,None,MF,0.00222841
8_NGA37100,2012,-1,-1,None doses,0
8_NGA37100,2012,-1,-1,None coverage,0
8_NGA37100,2013,None,None,MF,0.00278396
8_NGA37100,2013,-1,-1,None doses,0
8_NGA37100,2013,-1,-1,None coverage,0
8_NGA37100,2014,None,None,MF,0.00276396
8_NGA37100,2014,-1,-1,None doses,0
8_NGA37100,2014,-1,-1,None coverage,0
8_NGA37100,2015,None,None,MF,0.00278862
8_NGA37100,2015,-1,-1,None doses,0
8_NGA37100,2015,-1,-1,None coverage,0
8_NGA37100,2016,None,None,MF,0.00281215
8_NGA37100,2016,-1,-1,None doses,0
8_NGA37100,2016,-1,-1,None coverage,0
8_NGA37100,2017,None,None,MF,0.00225352
8_NGA37100,2017,-1,-1,None doses,0
8_NGA37100,2017,-1,-1,None coverage,0
8_NGA37100,2018,None,None,MF,0.00226501
8_NGA37100,2018,-1,-1,None doses,0
8_NGA37100,2018,-1,-1,None coverage,0
8_NGA37100,2019,None,None,MF,0.00169683
8_NGA37100,2019,-1,-1,None doses,0
8_NGA37100,2019,-1,-1,None coverage,0
8_NGA37100,2020,None,None,MF,0.0011409
8_NGA37100,2020,-1,-1,None doses,0
8_NGA37100,2020,-1,-1,None coverage,0
8_NGA37100,2021,None,None,MF,0.00113572
8_NGA37100,2021,-1,-1,None doses,0
8_NGA37100,2021,-1,-1,None coverage,0
8_NGA37100,2022,None,None,MF,0.000566572
8_NGA37100,2022,-1,-1,None doses,0
8_NGA37100,2022,-1,-1,None coverage,0
8_NGA37100,2023,None,None,MF,0.000563063
8_NGA37100,2023,-1,-1,None doses,0
8_NGA37100,2023,-1,-1,None coverage,0
8_NGA37100,2024,None,None,MF,0.000561798
8_NGA37100,2024,-1,-1,None doses,0
8_NGA37100,2024,-1,-1,None coverage,0
8_NGA37100,2025,None,None,MF,0.000560538
8_NGA37100,2025,-1,-1,None doses,0
8_NGA37100,2025,-1,-1,None coverage,0
8_NGA37100,2026,None,None,MF,0
8_NGA37100,2026,-1,-1,None doses,0
8_NGA37100,2026,-1,-1,None coverage,0
8_NGA37100,2027,None,None,MF,0
8_NGA37100,2027,-1,-1,None doses,0
8_NGA37100,2027,-1,-1,None coverage,0
8_NGA37100,2028,None,None,MF,0
8_NGA37100,2028,-1,-1,None doses,0
8_NGA37100,2028,-1,-1,None coverage,0
8_NGA37100,2029,None,None,MF,0
8_NGA37100,2029,-1,-1,None doses,0
8_NGA37100,2029,-1,-1,None coverage,0
8_NGA37100,2030,None,None,MF,0
8_NGA37100,2030,-1,-1,None doses,0
8_NGA37100,2030,-1,-1,None coverage,0
8_NGA37100,2031,None,None,MF,0
8_NGA37100,2031,-1,-1,None doses,0
8_NGA37100,2031,-1,-1,None coverage,0
8_NGA37100,2032,None,None,MF,0
8_NGA37100,2032,-1,-1,None doses,0
8_NGA37100,2032,-1,-1,None coverage,0
8_NGA37100,2033,None,None,MF,0
8_NGA37100,2033,-1,-1,None doses,0
8_NGA37100,2033,-1,-1,None coverage,0
8_NGA37100,2034,None,None,MF,0
8_NGA37100,2034,-1,-1,None doses,0
8_NGA37100,2034,-1,-1,None coverage,0
8_NGA37100,2035,None,None,MF,0
8_NGA37100,2035,-1,-1,None doses,0
8_NGA37100,2035,-1,-1,None coverage,0
8_NGA37100,2036,None,None,MF,0
8_NGA37100,2036,-1,-1,None doses,0
8_NGA37100,2036,-1,-1,None coverage,0
8_NGA37100,2037,None,None,MF,0
8_NGA37100,2037,-1,-1,None doses,0
8_NGA37100,2037,-1,-1,None coverage,0
8_NGA37100,2038,None,None,MF,0
8_NGA37100,2038,-1,-1,None doses,0
8_NGA37100,2038,-1,-1,None coverage,0
8_NGA37100,2039,None,None,MF,0
8_NGA37100,2039,-1,-1,None doses,0
8_NGA37100,2039,-1,-1,None coverage,0
8_NGA37100,2040,None,None,MF,0
8_NGA37100,2040,-1,-1,None doses,0
8_NGA37100,2040,-1,-1,None coverage,0
