espen_loc,year_id,age_start,age_end,measure,draw_0
minus1_TCD10760,2000,None,None,MF,0.00109951
minus1_TCD10760,2000,-1,-1,None doses,0
minus1_TCD10760,2000,-1,-1,None coverage,0
minus1_TCD10760,2001,None,None,MF,0.00110681
minus1_TCD10760,2001,-1,-1,None doses,0
minus1_TCD10760,2001,-1,-1,None coverage,0
minus1_TCD10760,2002,None,None,MF,0.00111297
minus1_TCD10760,2002,-1,-1,None doses,0
minus1_TCD10760,2002,-1,-1,None coverage,0
minus1_TCD10760,2003,None,None,MF,0.000559597
minus1_TCD10760,2003,-1,-1,None doses,0
minus1_TCD10760,2003,-1,-1,None coverage,0
minus1_TCD10760,2004,None,None,MF,0.000557414
minus1_TCD10760,2004,-1,-1,None doses,0
minus1_TCD10760,2004,-1,-1,None coverage,0
minus1_TCD10760,2005,None,None,MF,0.00111483
minus1_TCD10760,2005,-1,-1,None doses,0
minus1_TCD10760,2005,-1,-1,None coverage,0
minus1_TCD10760,2006,None,None,MF,0.00111111
minus1_TCD10760,2006,-1,-1,None doses,0
minus1_TCD10760,2006,-1,-1,None coverage,0
minus1_TCD10760,2007,None,None,MF,0.00111297
minus1_TCD10760,2007,-1,-1,None doses,0
minus1_TCD10760,2007,-1,-1,None coverage,0
minus1_TCD10760,2008,None,None,MF,0.00110865
minus1_TCD10760,2008,-1,-1,None doses,0
minus1_TCD10760,2008,-1,-1,None coverage,0
minus1_TCD10760,2009,None,None,MF,0.00111359
minus1_TCD10760,2009,-1,-1,None doses,0
minus1_TCD10760,2009,-1,-1,None coverage,0
minus1_TCD10760,2010,None,None,MF,0.00112549
minus1_TCD10760,2010,-1,-1,None doses,0
minus1_TCD10760,2010,-1,-1,None coverage,0
minus1_TCD10760,2011,None,None,MF,0.00112486
minus1_TCD10760,2011,-1,-1,None doses,0
minus1_TCD10760,2011,-1,-1,None coverage,0
minus1_TCD10760,2012,None,None,MF,0.00112108
minus1_TCD10760,2012,-1,-1,None doses,0
minus1_TCD10760,2012,-1,-1,None coverage,0
minus1_TCD10760,2013,None,None,MF,0.00111669
minus1_TCD10760,2013,-1,-1,None doses,0
minus1_TCD10760,2013,-1,-1,None coverage,0
minus1_TCD10760,2014,None,None,MF,0.00111794
minus1_TCD10760,2014,-1,-1,None doses,0
minus1_TCD10760,2014,-1,-1,None coverage,0
minus1_TCD10760,2015,None,None,MF,0.00167879
minus1_TCD10760,2015,-1,-1,None doses,0
minus1_TCD10760,2015,-1,-1,None coverage,0
minus1_TCD10760,2016,None,None,MF,0.00168539
minus1_TCD10760,2016,-1,-1,None doses,0
minus1_TCD10760,2016,-1,-1,None coverage,0
minus1_TCD10760,2017,None,None,MF,0.00169492
minus1_TCD10760,2017,-1,-1,None doses,0
minus1_TCD10760,2017,-1,-1,None coverage,0
minus1_TCD10760,2018,None,None,MF,0.000570776
minus1_TCD10760,2018,-1,-1,None doses,0
minus1_TCD10760,2018,-1,-1,None coverage,0
minus1_TCD10760,2019,None,None,MF,0.000568828
minus1_TCD10760,2019,-1,-1,None doses,0
minus1_TCD10760,2019,-1,-1,None coverage,0
minus1_TCD10760,2020,None,None,MF,0.000565291
minus1_TCD10760,2020,-1,-1,None doses,0
minus1_TCD10760,2020,-1,-1,None coverage,0
minus1_TCD10760,2021,None,None,MF,0.000562114
minus1_TCD10760,2021,-1,-1,None doses,0
minus1_TCD10760,2021,-1,-1,None coverage,0
minus1_TCD10760,2022,None,None,MF,0.000561798
minus1_TCD10760,2022,-1,-1,None doses,0
minus1_TCD10760,2022,-1,-1,None coverage,0
minus1_TCD10760,2023,None,None,MF,0.000559597
minus1_TCD10760,2023,-1,-1,None doses,0
minus1_TCD10760,2023,-1,-1,None coverage,0
minus1_TCD10760,2024,None,None,MF,0.00168539
minus1_TCD10760,2024,-1,-1,None doses,0
minus1_TCD10760,2024,-1,-1,None coverage,0
minus1_TCD10760,2025,None,None,MF,0.00170068
minus1_TCD10760,2025,-1,-1,None doses,0
minus1_TCD10760,2025,-1,-1,None coverage,0
minus1_TCD10760,2026,None,None,MF,0.00171429
minus1_TCD10760,2026,-1,-1,None doses,0
minus1_TCD10760,2026,-1,-1,None coverage,0
minus1_TCD10760,2027,None,None,MF,0.00171135
minus1_TCD10760,2027,-1,-1,None doses,0
minus1_TCD10760,2027,-1,-1,None coverage,0
minus1_TCD10760,2028,None,None,MF,0.0011396
minus1_TCD10760,2028,-1,-1,None doses,0
minus1_TCD10760,2028,-1,-1,None coverage,0
minus1_TCD10760,2029,None,None,MF,0.00113314
minus1_TCD10760,2029,-1,-1,None doses,0
minus1_TCD10760,2029,-1,-1,None coverage,0
minus1_TCD10760,2030,None,None,MF,0.00112803
minus1_TCD10760,2030,-1,-1,None doses,0
minus1_TCD10760,2030,-1,-1,None coverage,0
minus1_TCD10760,2031,None,None,MF,0.00112803
minus1_TCD10760,2031,-1,-1,None doses,0
minus1_TCD10760,2031,-1,-1,None coverage,0
minus1_TCD10760,2032,None,None,MF,0.00112423
minus1_TCD10760,2032,-1,-1,None doses,0
minus1_TCD10760,2032,-1,-1,None coverage,0
minus1_TCD10760,2033,None,None,MF,0.00112486
minus1_TCD10760,2033,-1,-1,None doses,0
minus1_TCD10760,2033,-1,-1,None coverage,0
minus1_TCD10760,2034,None,None,MF,0.0011325
minus1_TCD10760,2034,-1,-1,None doses,0
minus1_TCD10760,2034,-1,-1,None coverage,0
minus1_TCD10760,2035,None,None,MF,0.00113701
minus1_TCD10760,2035,-1,-1,None doses,0
minus1_TCD10760,2035,-1,-1,None coverage,0
minus1_TCD10760,2036,None,None,MF,0.00113186
minus1_TCD10760,2036,-1,-1,None doses,0
minus1_TCD10760,2036,-1,-1,None coverage,0
minus1_TCD10760,2037,None,None,MF,0.00113507
minus1_TCD10760,2037,-1,-1,None doses,0
minus1_TCD10760,2037,-1,-1,None coverage,0
minus1_TCD10760,2038,None,None,MF,0.0011325
minus1_TCD10760,2038,-1,-1,None doses,0
minus1_TCD10760,2038,-1,-1,None coverage,0
minus1_TCD10760,2039,None,None,MF,0.00112486
minus1_TCD10760,2039,-1,-1,None doses,0
minus1_TCD10760,2039,-1,-1,None coverage,0
minus1_TCD10760,2040,None,None,MF,0.00112296
minus1_TCD10760,2040,-1,-1,None doses,0
minus1_TCD10760,2040,-1,-1,None coverage,0
