espen_loc,year_id,age_start,age_end,measure,draw_0
9_NGA37100,2000,5,100,sampled mf prevalence (all pop),0.00334262
9_NGA37100,2000,5,100,true mf prevalence (all pop),0.0116992
9_NGA37100,2000,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2000,6,7,true IC prevalence (all pop),0
9_NGA37100,2000,5,100,metRoadmapTarget,1
9_NGA37100,2000,None,None,MDA ceased,0
9_NGA37100,2000,None,None,achieve EPHP,0
9_NGA37100,2001,5,100,sampled mf prevalence (all pop),0.00221484
9_NGA37100,2001,5,100,true mf prevalence (all pop),0.00498339
9_NGA37100,2001,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2001,6,7,true IC prevalence (all pop),0
9_NGA37100,2001,5,100,metRoadmapTarget,1
9_NGA37100,2001,None,None,MDA ceased,0
9_NGA37100,2001,None,None,achieve EPHP,0
9_NGA37100,2002,5,100,sampled mf prevalence (all pop),0.00222346
9_NGA37100,2002,5,100,true mf prevalence (all pop),0.00444691
9_NGA37100,2002,6,7,sampled IC prevalence (all pop),0.0238095
9_NGA37100,2002,6,7,true IC prevalence (all pop),0
9_NGA37100,2002,5,100,metRoadmapTarget,1
9_NGA37100,2002,None,None,MDA ceased,0
9_NGA37100,2002,None,None,achieve EPHP,0
9_NGA37100,2003,5,100,sampled mf prevalence (all pop),0.00165929
9_NGA37100,2003,5,100,true mf prevalence (all pop),0.00387168
9_NGA37100,2003,6,7,sampled IC prevalence (all pop),0.027027
9_NGA37100,2003,6,7,true IC prevalence (all pop),0
9_NGA37100,2003,5,100,metRoadmapTarget,1
9_NGA37100,2003,None,None,MDA ceased,0
9_NGA37100,2003,None,None,achieve EPHP,0
9_NGA37100,2004,5,100,sampled mf prevalence (all pop),0.00167131
9_NGA37100,2004,5,100,true mf prevalence (all pop),0.00334262
9_NGA37100,2004,6,7,sampled IC prevalence (all pop),0.025
9_NGA37100,2004,6,7,true IC prevalence (all pop),0
9_NGA37100,2004,5,100,metRoadmapTarget,1
9_NGA37100,2004,None,None,MDA ceased,0
9_NGA37100,2004,None,None,achieve EPHP,0
9_NGA37100,2005,5,100,sampled mf prevalence (all pop),0.00167038
9_NGA37100,2005,5,100,true mf prevalence (all pop),0.00334076
9_NGA37100,2005,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2005,6,7,true IC prevalence (all pop),0
9_NGA37100,2005,5,100,metRoadmapTarget,1
9_NGA37100,2005,None,None,MDA ceased,0
9_NGA37100,2005,None,None,achieve EPHP,0
9_NGA37100,2006,5,100,sampled mf prevalence (all pop),0.00169492
9_NGA37100,2006,5,100,true mf prevalence (all pop),0.00338983
9_NGA37100,2006,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2006,6,7,true IC prevalence (all pop),0
9_NGA37100,2006,5,100,metRoadmapTarget,1
9_NGA37100,2006,None,None,MDA ceased,0
9_NGA37100,2006,None,None,achieve EPHP,0
9_NGA37100,2007,5,100,sampled mf prevalence (all pop),0.00168824
9_NGA37100,2007,5,100,true mf prevalence (all pop),0.00337648
9_NGA37100,2007,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2007,6,7,true IC prevalence (all pop),0
9_NGA37100,2007,5,100,metRoadmapTarget,1
9_NGA37100,2007,None,None,MDA ceased,0
9_NGA37100,2007,None,None,achieve EPHP,0
9_NGA37100,2008,5,100,sampled mf prevalence (all pop),0.00113379
9_NGA37100,2008,5,100,true mf prevalence (all pop),0.00283447
9_NGA37100,2008,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2008,6,7,true IC prevalence (all pop),0
9_NGA37100,2008,5,100,metRoadmapTarget,1
9_NGA37100,2008,None,None,MDA ceased,0
9_NGA37100,2008,None,None,achieve EPHP,0
9_NGA37100,2009,5,100,sampled mf prevalence (all pop),0.00113572
9_NGA37100,2009,5,100,true mf prevalence (all pop),0.0028393
9_NGA37100,2009,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2009,6,7,true IC prevalence (all pop),0
9_NGA37100,2009,5,100,metRoadmapTarget,1
9_NGA37100,2009,None,None,MDA ceased,0
9_NGA37100,2009,None,None,achieve EPHP,0
9_NGA37100,2010,5,100,sampled mf prevalence (all pop),0.000571429
9_NGA37100,2010,5,100,true mf prevalence (all pop),0.00285714
9_NGA37100,2010,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2010,6,7,true IC prevalence (all pop),0
9_NGA37100,2010,5,100,metRoadmapTarget,1
9_NGA37100,2010,None,None,MDA ceased,0
9_NGA37100,2010,None,None,achieve EPHP,0
9_NGA37100,2011,5,100,sampled mf prevalence (all pop),0.000564653
9_NGA37100,2011,5,100,true mf prevalence (all pop),0.00282326
9_NGA37100,2011,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2011,6,7,true IC prevalence (all pop),0
9_NGA37100,2011,5,100,metRoadmapTarget,1
9_NGA37100,2011,None,None,MDA ceased,0
9_NGA37100,2011,None,None,achieve EPHP,0
9_NGA37100,2012,5,100,sampled mf prevalence (all pop),0.000567859
9_NGA37100,2012,5,100,true mf prevalence (all pop),0.0028393
9_NGA37100,2012,6,7,sampled IC prevalence (all pop),0.0163934
9_NGA37100,2012,6,7,true IC prevalence (all pop),0
9_NGA37100,2012,5,100,metRoadmapTarget,1
9_NGA37100,2012,None,None,MDA ceased,0
9_NGA37100,2012,None,None,achieve EPHP,0
9_NGA37100,2013,5,100,sampled mf prevalence (all pop),0.000568182
9_NGA37100,2013,5,100,true mf prevalence (all pop),0.00227273
9_NGA37100,2013,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2013,6,7,true IC prevalence (all pop),0
9_NGA37100,2013,5,100,metRoadmapTarget,1
9_NGA37100,2013,None,None,MDA ceased,0
9_NGA37100,2013,None,None,achieve EPHP,0
9_NGA37100,2014,5,100,sampled mf prevalence (all pop),0.000570451
9_NGA37100,2014,5,100,true mf prevalence (all pop),0.0022818
9_NGA37100,2014,6,7,sampled IC prevalence (all pop),0.0238095
9_NGA37100,2014,6,7,true IC prevalence (all pop),0
9_NGA37100,2014,5,100,metRoadmapTarget,1
9_NGA37100,2014,None,None,MDA ceased,0
9_NGA37100,2014,None,None,achieve EPHP,0
9_NGA37100,2015,5,100,sampled mf prevalence (all pop),0.000568505
9_NGA37100,2015,5,100,true mf prevalence (all pop),0.00227402
9_NGA37100,2015,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2015,6,7,true IC prevalence (all pop),0
9_NGA37100,2015,5,100,metRoadmapTarget,1
9_NGA37100,2015,None,None,MDA ceased,0
9_NGA37100,2015,None,None,achieve EPHP,0
9_NGA37100,2016,5,100,sampled mf prevalence (all pop),0.000568505
9_NGA37100,2016,5,100,true mf prevalence (all pop),0.00227402
9_NGA37100,2016,6,7,sampled IC prevalence (all pop),0
9_NGA37100,2016,6,7,true IC prevalence (all pop),0
9_NGA37100,2016,5,100,metRoadmapTarget,1
9_NGA37100,2016,None,None,MDA ceased,0
9_NGA37100,2016,None,None,achieve EPHP,0
9_NGA37100,2017,5,100,sampled mf prevalence (all pop),0.000572082
9_NGA37100,2017,5,100,true mf prevalence (all pop),0.00228833
9_NGA37100,2017,6,7,sampled IC prevalence (all pop),0.0238095
9_NGA37100,2017,6,7,true IC prevalence (all pop),0
9_NGA37100,2017,5,100,metRoadmapTarget,1
