espen_loc,year_id,age_start,age_end,measure,draw_0
3a_SDN53289,2018,None,None,numPreTASSurveys,0
3a_SDN53289,2018,None,None,TASSurveys,0
3a_SDN53289,2018,None,None,PreTASPass,0
3a_SDN53289,2018,None,None,TASPass,0
3a_SDN53289,2019,None,None,numPreTASSurveys,0
3a_SDN53289,2019,None,None,TASSurveys,0
3a_SDN53289,2019,None,None,PreTASPass,0
3a_SDN53289,2019,None,None,TASPass,0
3a_SDN53289,2020,None,None,numPreTASSurveys,0
3a_SDN53289,2020,None,None,TASSurveys,0
3a_SDN53289,2020,None,None,PreTASPass,0
3a_SDN53289,2020,None,None,TASPass,0
3a_SDN53289,2021,None,None,numPreTASSurveys,0
3a_SDN53289,2021,None,None,TASSurveys,0
3a_SDN53289,2021,None,None,PreTASPass,0
3a_SDN53289,2021,None,None,TASPass,0
3a_SDN53289,2021,5,100,MDATreatments1,903
3a_SDN53289,2021,5,100,MDATreatments2,0
3a_SDN53289,2021,5,100,MDACoverage1,0.505882
3a_SDN53289,2021,5,100,MDACoverage2,0
3a_SDN53289,2022,None,None,numPreTASSurveys,0
3a_SDN53289,2022,None,None,TASSurveys,0
3a_SDN53289,2022,None,None,PreTASPass,0
3a_SDN53289,2022,None,None,TASPass,0
3a_SDN53289,2022,5,100,MDATreatments1,901
3a_SDN53289,2022,5,100,MDATreatments2,0
3a_SDN53289,2022,5,100,MDACoverage1,0.504197
3a_SDN53289,2022,5,100,MDACoverage2,0
3a_SDN53289,2023,None,None,numPreTASSurveys,0
3a_SDN53289,2023,None,None,TASSurveys,0
3a_SDN53289,2023,None,None,PreTASPass,0
3a_SDN53289,2023,None,None,TASPass,0
3a_SDN53289,2024,None,None,numPreTASSurveys,0
3a_SDN53289,2024,None,None,TASSurveys,0
3a_SDN53289,2024,None,None,PreTASPass,0
3a_SDN53289,2024,None,None,TASPass,0
3a_SDN53289,2024,5,100,MDATreatments1,895
3a_SDN53289,2024,5,100,MDATreatments2,0
3a_SDN53289,2024,5,100,MDACoverage1,0.502245
3a_SDN53289,2024,5,100,MDACoverage2,0
3a_SDN53289,2025,None,None,numPreTASSurveys,0
3a_SDN53289,2025,None,None,TASSurveys,0
3a_SDN53289,2025,None,None,PreTASPass,0
3a_SDN53289,2025,None,None,TASPass,0
3a_SDN53289,2025,5,100,MDATreatments1,908
3a_SDN53289,2025,5,100,MDATreatments2,0
3a_SDN53289,2025,5,100,MDACoverage1,0.505568
3a_SDN53289,2025,5,100,MDACoverage2,0
3a_SDN53289,2026,None,None,numPreTASSurveys,0
3a_SDN53289,2026,None,None,TASSurveys,0
3a_SDN53289,2026,None,None,PreTASPass,0
3a_SDN53289,2026,None,None,TASPass,0
3a_SDN53289,2026,5,100,MDATreatments1,0
3a_SDN53289,2026,5,100,MDATreatments2,1421
3a_SDN53289,2026,5,100,MDACoverage1,0
3a_SDN53289,2026,5,100,MDACoverage2,0.801466
3a_SDN53289,2027,None,None,numPreTASSurveys,0
3a_SDN53289,2027,None,None,TASSurveys,0
3a_SDN53289,2027,None,None,PreTASPass,0
3a_SDN53289,2027,None,None,TASPass,0
3a_SDN53289,2027,5,100,MDATreatments1,0
3a_SDN53289,2027,5,100,MDATreatments2,1411
3a_SDN53289,2027,5,100,MDACoverage1,0
3a_SDN53289,2027,5,100,MDACoverage2,0.798077
3a_SDN53289,2028,None,None,numPreTASSurveys,1
3a_SDN53289,2028,None,None,TASSurveys,1
3a_SDN53289,2028,None,None,PreTASPass,1
3a_SDN53289,2028,None,None,TASPass,1
3a_SDN53289,2028,5,100,MDATreatments1,0
3a_SDN53289,2028,5,100,MDATreatments2,0
3a_SDN53289,2028,5,100,MDACoverage1,0
3a_SDN53289,2028,5,100,MDACoverage2,0
3a_SDN53289,2029,None,None,numPreTASSurveys,1
3a_SDN53289,2029,None,None,TASSurveys,1
3a_SDN53289,2029,None,None,PreTASPass,1
3a_SDN53289,2029,None,None,TASPass,1
3a_SDN53289,2029,5,100,MDATreatments1,0
3a_SDN53289,2029,5,100,MDATreatments2,0
3a_SDN53289,2029,5,100,MDACoverage1,0
3a_SDN53289,2029,5,100,MDACoverage2,0
3a_SDN53289,2030,None,None,numPreTASSurveys,1
3a_SDN53289,2030,None,None,TASSurveys,1
3a_SDN53289,2030,None,None,PreTASPass,1
3a_SDN53289,2030,None,None,TASPass,1
3a_SDN53289,2030,5,100,MDATreatments1,0
3a_SDN53289,2030,5,100,MDATreatments2,0
