espen_loc,year_id,age_start,age_end,measure,draw_0
3c_SDN53289,2018,None,None,numPreTASSurveys,0
3c_SDN53289,2018,None,None,TASSurveys,0
3c_SDN53289,2018,None,None,PreTASPass,0
3c_SDN53289,2018,None,None,TASPass,0
3c_SDN53289,2019,None,None,numPreTASSurveys,0
3c_SDN53289,2019,None,None,TASSurveys,0
3c_SDN53289,2019,None,None,PreTASPass,0
3c_SDN53289,2019,None,None,TASPass,0
3c_SDN53289,2020,None,None,numPreTASSurveys,0
3c_SDN53289,2020,None,None,TASSurveys,0
3c_SDN53289,2020,None,None,PreTASPass,0
3c_SDN53289,2020,None,None,TASPass,0
3c_SDN53289,2021,None,None,numPreTASSurveys,0
3c_SDN53289,2021,None,None,TASSurveys,0
3c_SDN53289,2021,None,None,PreTASPass,0
3c_SDN53289,2021,None,None,TASPass,0
3c_SDN53289,2021,5,100,MDATreatments1,896
3c_SDN53289,2021,5,100,MDATreatments2,0
3c_SDN53289,2021,5,100,MDACoverage1,0.501399
3c_SDN53289,2021,5,100,MDACoverage2,0
3c_SDN53289,2022,None,None,numPreTASSurveys,0
3c_SDN53289,2022,None,None,TASSurveys,0
3c_SDN53289,2022,None,None,PreTASPass,0
3c_SDN53289,2022,None,None,TASPass,0
3c_SDN53289,2022,5,100,MDATreatments1,912
3c_SDN53289,2022,5,100,MDATreatments2,0
3c_SDN53289,2022,5,100,MDACoverage1,0.51236
3c_SDN53289,2022,5,100,MDACoverage2,0
3c_SDN53289,2023,None,None,numPreTASSurveys,0
3c_SDN53289,2023,None,None,TASSurveys,0
3c_SDN53289,2023,None,None,PreTASPass,0
3c_SDN53289,2023,None,None,TASPass,0
3c_SDN53289,2024,None,None,numPreTASSurveys,0
3c_SDN53289,2024,None,None,TASSurveys,0
3c_SDN53289,2024,None,None,PreTASPass,0
3c_SDN53289,2024,None,None,TASPass,0
3c_SDN53289,2024,5,100,MDATreatments1,882
3c_SDN53289,2024,5,100,MDATreatments2,0
3c_SDN53289,2024,5,100,MDACoverage1,0.492737
3c_SDN53289,2024,5,100,MDACoverage2,0
3c_SDN53289,2025,None,None,numPreTASSurveys,0
3c_SDN53289,2025,None,None,TASSurveys,0
3c_SDN53289,2025,None,None,PreTASPass,0
3c_SDN53289,2025,None,None,TASPass,0
3c_SDN53289,2025,5,100,MDATreatments1,871
3c_SDN53289,2025,5,100,MDATreatments2,0
3c_SDN53289,2025,5,100,MDACoverage1,0.492369
3c_SDN53289,2025,5,100,MDACoverage2,0
3c_SDN53289,2026,None,None,numPreTASSurveys,0
3c_SDN53289,2026,None,None,TASSurveys,0
3c_SDN53289,2026,None,None,PreTASPass,0
3c_SDN53289,2026,None,None,TASPass,0
3c_SDN53289,2026,5,100,MDATreatments1,1157
3c_SDN53289,2026,5,100,MDATreatments2,0
3c_SDN53289,2026,5,100,MDACoverage1,0.653672
3c_SDN53289,2026,5,100,MDACoverage2,0
3c_SDN53289,2027,None,None,numPreTASSurveys,0
3c_SDN53289,2027,None,None,TASSurveys,0
3c_SDN53289,2027,None,None,PreTASPass,0
3c_SDN53289,2027,None,None,TASPass,0
3c_SDN53289,2027,5,100,MDATreatments1,1163
3c_SDN53289,2027,5,100,MDATreatments2,0
3c_SDN53289,2027,5,100,MDACoverage1,0.657434
3c_SDN53289,2027,5,100,MDACoverage2,0
3c_SDN53289,2028,None,None,numPreTASSurveys,1
3c_SDN53289,2028,None,None,TASSurveys,1
3c_SDN53289,2028,None,None,PreTASPass,1
3c_SDN53289,2028,None,None,TASPass,1
